Datum;Wochentag;Arbeitsbeginn;Pause_min;Mittag_beginn;Mittag_ende;Arbeitsende;Kommentar
01.10.2025;Mittwoch;08:30;30;12:00;12:30;16:30;
02.10.2025;Donnerstag;08:15;30;12:00;12:30;16:15;
03.10.2025;Freitag;08:00;30;12:00;12:30;16:00;Minderjährig: keine Überzeit
06.10.2025;Montag;08:30;30;12:15;12:45;16:30;
07.10.2025;Dienstag;08:00;30;12:00;12:30;16:00;Minderjährig: keine Überzeit
08.10.2025;Mittwoch;09:00;20;12:30;13:00;17:00;Zu lange Arbeitszeit für Minderjährige
09.10.2025;Donnerstag;08:45;15;;;16:00;Keine Mittagspause eingetragen
10.10.2025;Freitag;08:15;30;12:00;12:30;17:15;Grenzwert erreicht
13.10.2025;Montag;08:30;30;12:00;12:30;16:30;
14.10.2025;Dienstag;08:10;30;12:00;12:30;16:10;
15.10.2025;Mittwoch;08:00;30;12:00;12:30;16:00;
16.10.2025;Donnerstag;08:30;30;12:15;12:45;16:45;Nahe 9h-Grenze
17.10.2025;Freitag;09:00;20;12:30;13:00;17:30;Arbeitszeit > 9h
20.10.2025;Montag;08:30;30;12:00;12:30;16:30;
21.10.2025;Dienstag;08:15;30;12:00;12:30;16:15;
22.10.2025;Mittwoch;08:00;30;12:00;12:30;16:00;
23.10.2025;Donnerstag;08:45;30;12:00;12:30;16:45;Später Feierabend
24.10.2025;Freitag;08:30;30;12:00;12:30;17:00;Grenzwert fast erreicht
27.10.2025;Montag;08:30;30;12:00;12:30;16:30;
28.10.2025;Dienstag;08:10;30;12:00;12:30;16:10;
29.10.2025;Mittwoch;08:00;30;12:00;12:30;16:00;
30.10.2025;Donnerstag;08:30;30;12:15;12:45;16:45;
31.10.2025;Freitag;09:00;20;12:30;13:00;17:15;Arbeitszeit nahe 9h-Grenze
